DATE,COMPOUT
2013-06-19,1037.662970481
2013-06-26,1039.373339365
2013-07-03,1035.332863841
2013-07-10,989.992212829
2013-07-17,998.848157965
2013-07-24,995.592892109
2013-07-31,984.463749103
2013-08-07,987.632033375
2013-08-14,1003.719419191
2013-08-21,1020.438950195
2013-08-28,1020.114445801
2013-09-04,1014.779970445
2013-09-11,1035.023586845
2013-09-18,1046.776846018
2013-09-25,1063.963695131
2013-10-02,1054.768963861
2013-10-09,1065.894736681
2013-10-16,1033.92601163
2013-10-23,1062.098914477
2013-10-30,1081.740474914
2013-11-06,1070.548009111
2013-11-13,1067.187521282
2013-11-20,1054.361011611
2013-11-27,1059.421811728
2013-12-04,1049.979460493
2013-12-11,1082.253965326
2013-12-18,1086.192131363
2013-12-25,1101.257262081
2014-01-01,1046.365571301
2014-01-08,1059.445417978
2014-01-15,1035.705082264
2014-01-22,1018.658878866
2014-01-29,1014.060476772
2014-02-05,989.700486079
2014-02-12,991.027230141
2014-02-19,1028.140069404
2014-02-26,1011.900516915
2014-03-05,1028.234296193
2014-03-12,1020.996718001
2014-03-19,1019.088925125
2014-03-26,1025.374317842
2014-04-02,1033.846052237
2014-04-09,1038.45624656
2014-04-16,1044.654523926
2014-04-23,1042.928471341
2014-04-30,1031.486114365
2014-05-07,1042.262114678
2014-05-14,1038.260664408
2014-05-21,1036.833887864
2014-05-28,1027.94269426
2014-06-04,1038.784737908
2014-06-11,1046.546228805
2014-06-18,1042.572946716
2014-06-25,1054.697943328
2014-07-02,1053.867618082
2014-07-09,1041.80816193
2014-07-16,1028.23485727
2014-07-23,1025.909300585
2014-07-30,1048.009648555
2014-08-06,1038.43387658
2014-08-13,1036.692083614
2014-08-20,1022.763376959
2014-08-27,1041.297737889
2014-09-03,1049.043381994
2014-09-10,1050.638031716
2014-09-17,1051.606773364
2014-09-24,1057.654885782
2014-10-01,1054.696246619
2014-10-08,1083.084018124
2014-10-15,1060.51338311
2014-10-22,1062.783586555
2014-10-29,1064.780472839
2014-11-05,1073.195065709
2014-11-12,1079.759700314
2014-11-19,1090.8981196
2014-11-26,1091.418145411
2014-12-03,1095.691514252
2014-12-10,1086.618401439
2014-12-17,1074.103154374
2014-12-24,1051.773028388
2014-12-31,1007.574521909
2015-01-07,1086.11842503
2015-01-14,1029.529410423
2015-01-21,1009.859571506
2015-01-28,1007.465540608
2015-02-04,988.678973396
2015-02-11,994.799284707
2015-02-18,991.869169899
2015-02-25,1026.621468015
2015-03-04,998.427068539
2015-03-11,1023.00074753
2015-03-18,1025.453662378
2015-03-25,1031.772054123
2015-04-01,1010.401750853
2015-04-08,1018.627825462
2015-04-15,1031.903623959
